area_type,availability,location,size,bath,balcony,total_m2,price_mDT
Super built-up  Area,Ready To Move,bouaarkoub,2 BHK,2,1,102.19,668.2265477
Super built-up  Area,18-Apr,ksar hlel,2 BHK,2,3,105.906,463.4474443
Super built-up  Area,Ready To Move,kalaa khasba,2 BHK,2,1,113.338,614.33731
Plot  Area,Ready To Move,Lac2,8 Bedroom,7,0,125.415,916.1170412
Super built-up  Area,Ready To Move,aamdoun,2 BHK,2,1,93.3645,395.3314479
Plot  Area,Ready To Move,DOUBLE ROAD,3 Bedroom,3,2,46.45,1077.784754
Super built-up  Area,20-Aug,sfax ouest,2 BHK,2,1,126.1582,868.478955
Super built-up  Area,Ready To Move,ghazela,3 BHK,3,1,145.7601,1088.562602
Super built-up  Area,18-Apr,benzert nord,2 BHK,2,1,115.196,754.449328
Super built-up  Area,Ready To Move,mater,3 BHK,3,2,194.0681,1508.898656
Super built-up  Area,Ready To Move,chbika,2 BHK,2,1,112.0374,519.815587
Super built-up  Area,Ready To Move,zaghwen,2 BHK,2,3,106.835,431.1139017
Built-up  Area,Ready To Move,CHOLANAYAKANAHALLI,3 BHK,3,3,233.2719,2209.458746
Built-up  Area,Ready To Move,dakach,2 BHK,1,0,42.734,237.1126459
Built-up  Area,Ready To Move,chebba,6 Bedroom,6,3,408.76,2694.461886
Super built-up  Area,Ready To Move,KODANDA REDDY LAYOUT,3 BHK,2,2,154.214,1131.673992
Built-up  Area,18-Oct,mater,4 Bedroom,,,297.60515,2419.626773
Super built-up  Area,19-Mar,fousena,2 BHK,2,2,123.1854,840.6721084
Super built-up  Area,Ready To Move,korba,3 BHK,2,2,123.0925,655.2931306
Super built-up  Area,Ready To Move,hawarya,3 BHK,5,2,139.2571,1099.340449
Built-up  Area,Ready To Move,ghazela,6 Bedroom,7,2,278.7,2263.347984
Super built-up  Area,Ready To Move,aamdoun,3 BHK,3,2,154.6785,948.4505838
Super built-up  Area,17-Sep,morneg,2 BHK,2,2,65.7732,398.7803591
Super built-up  Area,Ready To Move,touzeur,2 BHK,2,2,98.474,625.7618283
Plot  Area,Ready To Move,fawar,6 Bedroom,6,3,65.959,1724.455607
Built-up  Area,Ready To Move,kasserine nord,2 BHK,2,2,92.9,754.449328
Super built-up  Area,18-Dec,l mida,2 BHK,2,1,92.9,311.264237
Super built-up  Area,Ready To Move, MYSORE HIGHWAY,3 BHK,2,2,134.705,754.449328
Plot  Area,Ready To Move,chebba,4 Bedroom,4,2,111.48,1670.566369
Super built-up  Area,17-Aug,bradeaa,2 BHK,2,3,120.3984,862.2278034
Super built-up  Area,Ready To Move,beni khiar,3 BHK,3,2,143.066,970.0062789
Plot  Area,Ready To Move,hazwa,4 Bedroom,4,1,268.8526,2640.572648
Super built-up  Area,Ready To Move,metlawi,3 BHK,2,1,123.557,517.3366821
Built-up  Area,Ready To Move,DEVASTHANAGALU,2 BHK,2,1,111.48,700.5600903
Built-up  Area,Ready To Move,T DASARAHALLI,3 Bedroom,3,1,111.48,970.0062789
Super built-up  Area,Ready To Move,douar hicher,3 BHK,3,3,232.4358,1487.342961
Built-up  Area,Ready To Move,rades,2 BHK,1,1,60.385,183.2234082
Plot  Area,Ready To Move,kerouon sud,3 Bedroom,2,1,222.96,1616.677131
Super built-up  Area,Ready To Move,GREEN VIEW LAYOUT,2 BHK,2,2,93.5503,463.4474443
Super built-up  Area,Ready To Move,SHANTINIKETAN LAYOUT,2 BHK,2,2,111.48,538.8923772
Super built-up  Area,Ready To Move,PEENYA,2 BHK,2,2,89.7414,537.8145924
Built-up  Area,Ready To Move,rgueb,3 BHK,2,1,151.427,1056.229059
Built-up  Area,Ready To Move,fawar,3 BHK,3,2,152.356,2468.127087
Built-up  Area,Ready To Move,JALAHALLI WEST,2 BHK,2,2,72.6478,600.1105512
Super built-up  Area,19-Apr,mogrin,2 BHK,2,2,117.054,719.7446589
Super built-up  Area,Ready To Move,LAKSHMIAMMA GARDEN,3 BHK,3,3,167.22,1293.341705
Super built-up  Area,Ready To Move,BYATARAYANAPURA,3 BHK,2,2,131.2677,808.3385657
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,1,103.6764,559.478066
Super built-up  Area,Ready To Move,l mida,3 BHK,2,1,142.137,494.7032022
Built-up  Area,Ready To Move,ghbeli nord,4 Bedroom,4,1,343.73,2425.015697
Built-up  Area,Ready To Move,tela,3 Bedroom,3,2,231.9713,1508.898656
Super built-up  Area,Ready To Move,hazwa,3 BHK,2,3,143.066,689.7822428
Super built-up  Area,18-Dec,bradeaa,3 BHK,3,1,133.4044,805.6441038
Super built-up  Area,18-Jun,dahmeni,2 BHK,2,2,102.19,808.3385657
Plot  Area,Ready To Move,mater,2 Bedroom,3,3,25.6404,247.8904935
Super built-up  Area,Ready To Move,bradeaa,3 BHK,3,2,132.5683,1293.341705
Super built-up  Area,Ready To Move,hrayrya,3 BHK,3,1,191.4669,2155.569509
Super built-up  Area,18-Mar,jarzouna,4 BHK,4,0,521.30835,5141.033278
Built-up  Area,Ready To Move,gafsa nord,4 BHK,4,2,246.185,1616.677131
Super built-up  Area,22-Dec,mogrin,3 BHK,2,2,119.0978,738.4981136
Built-up  Area,Ready To Move,zriba,2 BHK,2,1,97.545,366.4468165
Built-up  Area,Ready To Move,chrarda,3 BHK,3,2,148.64,700.5600903
Super built-up  Area,22-Jan,VAJARAHALLI,2 BHK,2,1,87.7905,582.0037673
Super built-up  Area,Ready To Move,mornagya,2 BHK,2,1,139.35,840.6721084
Plot  Area,Ready To Move,rjim maatoug,7 Bedroom,7,0,88.255,1239.452467
Built-up  Area,Ready To Move,PEENYA,3 BHK,3,3,173.723,1185.56323
Plot  Area,Ready To Move,fariena,3 Bedroom,3,1,148.64,808.3385657
Super built-up  Area,Ready To Move,l mida,2 BHK,1,1,81.752,177.8344845
Plot  Area,Ready To Move,RAMASWAMY PALYA - KAMMANAHALLI MAIN ROAD,4 Bedroom,4,0,111.48,2263.347984
Super built-up  Area,Ready To Move,bou hajla,3 BHK,3,2,142.6015,894.5613461
Built-up  Area,Ready To Move,aamdoun,2 BHK,2,1,88.255,614.33731
Super built-up  Area,18-Aug,mogrin,2 BHK,2,1,126.344,700.5600903
Super built-up  Area,19-Mar,lemdina,2 BHK,2,0,99.72815,582.0576566
Super built-up  Area,18-May,sidi thebet,3 BHK,3,1,118.912,543.2035162
Super built-up  Area,19-Jan,CHANDRA LAYOUT,3 BHK,2,2,117.054,916.6559335
Built-up  Area,Ready To Move,mater,8 Bedroom,8,,464.5,2694.461886
Super built-up  Area,19-Dec,fousena,5 BHK,5,1,283.345,2295.681527
Super built-up  Area,Ready To Move,touzeur,3 BHK,3,1,145.207345,1131.673992
Super built-up  Area,Ready To Move,chebba,2 BHK,2,1,92.9,646.6708526
Super built-up  Area,17-Jul,omrane l aala,2 BHK,2,1,108.4143,471.6386085
Super built-up  Area,Ready To Move,sakyet deyer,7 BHK,7,2,371.6,2425.015697
Super built-up  Area,Ready To Move,kerouon sud,3 BHK,3,,169.8212,1185.56323
Super built-up  Area,Ready To Move,bouselem,2 BHK,2,1,82.681,377.224664
Super built-up  Area,Ready To Move,BASAVANAPURA,3 BHK,3,3,149.7548,503.7565942
Plot  Area,Ready To Move,DINNUR,6 Bedroom,5,,96.0586,1993.901795
Super built-up  Area,19-Apr,tataouin nord,3 BHK,4,2,158.859,984.1252592
Super built-up  Area,Ready To Move,mjez l beb,2 BHK,2,1,88.9053,625.1151575
Super built-up  Area,18-May, DEVARACHIKKANAHALLI,3 BHK,2,3,116.125,474.2252919
Super built-up  Area,Ready To Move,SANJEEVINI NAGAR,3 BHK,4,,259.6555,2532.794173
Super built-up  Area,Ready To Move,mahdia,2 BHK,2,2,104.5125,538.8923772
Super built-up  Area,18-Jul,hammamet,2 BHK,2,1,94.758,329.8021348
Super built-up  Area,Ready To Move,zaghwen,2 BHK,2,2,111.48,538.8923772
Super built-up  Area,Ready To Move,bradeaa,3 BHK,3,3,161.1815,1455.009418
Super built-up  Area,Ready To Move,bradeaa,3 BHK,3,1,190.445,1562.787894
Plot  Area,Ready To Move,ked ouest,4 Bedroom,4,0,348.375,8191.164133
Built-up  Area,Ready To Move,YARANDAHALLI,3 BHK,2,3,125.415,517.3366821
Super built-up  Area,18-May,tborba,2 BHK,2,1,98.7527,344.8911214
Super built-up  Area,Ready To Move,KESHAVA NAGAR,3 BHK,3,1,176.8816,1616.677131
Built-up  Area,Ready To Move,hesi farid,4 Bedroom,4,2,390.18,4526.695968
Super built-up  Area,Ready To Move,RMV EXTENSION,3 BHK,3,1,185.8,1886.12332
Super built-up  Area,18-Dec,fariena,2 BHK,2,0,115.42825,468.7285896
Super built-up  Area,Ready To Move,TEJASWINI NAGAR,3 BHK,2,2,132.3825,808.3385657
Super built-up  Area,Ready To Move,l mida,3 BHK,2,1,139.35,695.1711665
Built-up  Area,Ready To Move,l mida,2 BHK,2,1,98.474,646.6708526
Built-up  Area,Ready To Move,JAI BHEEMA NAGAR,3 BHK,2,2,136.563,754.449328
Super built-up  Area,Ready To Move,KOTHNUR NARAYANAPURA,6 BHK,6,0,120.77,1067.006907
Super built-up  Area,Ready To Move,beb jdid,1 BHK,1,1,41.805,118.556323
Super built-up  Area,18-Apr,l mida,2 BHK,2,1,107.0208,695.1711665
Super built-up  Area,Ready To Move,l mida,3 BHK,2,1,125.415,603.5594624
Super built-up  Area,Ready To Move,hay gazela,3 BHK,3,3,143.995,700.5600903
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,3,2,139.35,1077.784754
Plot  Area,Ready To Move,hejeb laayoun,5 Bedroom,3,2,55.74,916.1170412
Plot  Area,Ready To Move,meknesi,1 Bedroom,1,0,37.16,150.8898656
Super built-up  Area,Ready To Move,dahmeni,1 BHK,1,2,65.4945,722.1157854
Built-up  Area,Ready To Move,l mida,2 BHK,1,1,71.533,388.0025115
Super built-up  Area,Ready To Move,mahdia,2 BHK,2,3,115.3818,549.6702247
Super built-up  Area,Ready To Move,sajnan,3 BHK,3,2,157.93,1670.566369
Super built-up  Area,Ready To Move,bradeaa,3 BHK,3,2,199.1776,1562.787894
Super built-up  Area,21-Jun,akareb,3 BHK,3,2,158.3016,1185.56323
Super built-up  Area,Ready To Move,l mida,2 BHK,2,1,99.403,560.4480722
Plot  Area,Ready To Move,8TH BLOCK KORAMANGALA,3 Bedroom,3,2,171.4934,3233.354263
Super built-up  Area,Ready To Move,JAKKURU LAYOUT,2 BHK,2,2,124.486,600.3261081
Built-up  Area,Ready To Move,l mida,2 BHK,2,1,95.2225,495.780987
Super built-up  Area,Ready To Move,makther,2 BHK,2,0,118.67975,612.1817404
Super built-up  Area,Ready To Move,kalaa khasba,2 BHK,2,2,111.48,560.4480722
Built-up  Area,18-Dec,aamdoun,4 Bedroom,4,1,209.025,1185.56323
Super built-up  Area,Ready To Move,matmata,3 BHK,2,3,143.995,862.2278034
Plot  Area,Ready To Move,sfax lemdina,4 Bedroom,5,,111.48,3502.800451
Plot  Area,Ready To Move,EJIPURA,7 Bedroom,7,1,167.22,2694.461886
Super built-up  Area,Ready To Move,kalaa khasba,2 BHK,2,2,111.48,646.6708526
Super built-up  Area,Ready To Move,fousena,2 BHK,2,2,123.2783,1056.229059
Super built-up  Area,Ready To Move,kerouon sud,2 BHK,2,2,110.1794,625.1151575
Built-up  Area,Ready To Move,MS PALLYA,3 Bedroom,3,1,165.6407,1239.452467
Super built-up  Area,Ready To Move,benzert sud,3 BHK,3,2,130.06,603.5594624
Super built-up  Area,Ready To Move,awled hafouz,2 BHK,2,1,91.042,517.3366821
Super built-up  Area,Ready To Move,hawarya,2 BHK,2,2,119.3765,883.7834985
Super built-up  Area,Ready To Move,LANGFORD TOWN,3 BHK,2,1,84.7248,754.449328
Built-up  Area,Ready To Move,hesi farid,2 BHK,2,2,113.8025,513.025543
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,1,99.8675,571.2259198
Built-up  Area,Ready To Move,zriba,3 BHK,2,2,117.054,582.0037673
Super built-up  Area,Ready To Move,fousena,3 BHK,2,2,119.0978,524.8811753
Super built-up  Area,Ready To Move,farnena,3 BHK,3,2,177.3461,948.4505838
Super built-up  Area,Ready To Move,kabes ouest,2 BHK,2,1,126.2511,937.6727362
Built-up  Area,Ready To Move,NAGONDANAHALLI,2 BHK,2,2,112.1303,468.8363681
Plot  Area,Ready To Move,mzouna,4 Bedroom,6,0,161.2744,2047.791033
Super built-up  Area,20-May,carthage,4 BHK,4,1,264.765,4612.918748
Super built-up  Area,Ready To Move,tastour,3 BHK,3,2,148.1755,700.5600903
Built-up  Area,18-Jun,"OFF SARJAPUR ROAD, ",3 BHK,3,2,167.0342,959.2284313
Super built-up  Area,Ready To Move,dar chaaben fehri,3 BHK,3,2,137.0275,843.7976841
Super built-up  Area,Ready To Move,TALA CAUVERY LAYOUT,3 BHK,3,3,146.782,1077.784754
Super built-up  Area,Ready To Move,borj cedria,2 BHK,2,1,120.3055,700.5600903
Built-up  Area,Ready To Move,jrisa,6 Bedroom,6,0,334.44,1519.676504
Super built-up  Area,Ready To Move,l mida,1 BHK,1,1,54.7181,291.0018837
Super built-up  Area,Ready To Move,NGEF LAYOUT,3 BHK,3,3,131.4535,840.6721084
Super built-up  Area,18-Dec,tela,3 BHK,3,2,166.0123,1059.354635
Super built-up  Area,Ready To Move,tela,3 BHK,3,2,166.0123,1347.230943
Super built-up  Area,Ready To Move,sbikha,3 BHK,2,3,137.0275,970.0062789
Built-up  Area,Ready To Move,"LAKSHMINARAYANAPURA, ELECTRONIC CITY PHASE 2",4 BHK,4,1,185.8,813.7274895
Super built-up  Area,19-Mar,tela,2 BHK,2,1,91.4136,477.2430892
Super built-up  Area,19-Dec,mogrin,3 BHK,,,151.427,806.3985532
Super built-up  Area,Ready To Move,MUTHURAYYA SWAMY LAYOUT,3 BHK,4,2,223.4245,2802.240361
Built-up  Area,Ready To Move,wardya,2 BHK,2,2,100.332,776.0050231
Plot  Area,Ready To Move,SHANTINIKETAN LAYOUT,2 Bedroom,2,1,139.35,1239.452467
Super built-up  Area,Ready To Move,jarzouna,3 BHK,3,2,176.51,1282.563858
Super built-up  Area,19-Aug,beni khaled,2 BHK,2,1,74.7845,238.6215446
Super built-up  Area,Ready To Move,ariana soghra,2 BHK,2,2,107.1137,607.8706014
Super built-up  Area,Ready To Move,DODDA NEKKUNDI EXTENSION,2 BHK,2,2,106.6492,646.6708526
Super built-up  Area,Ready To Move,MYLASANDRA,2 BHK,2,2,103.119,592.7816149
Built-up  Area,Ready To Move,l mida,2 BHK,2,2,102.19,452.6695968
Super built-up  Area,Ready To Move,sawaf,2 BHK,2,2,119.841,1185.56323
Super built-up  Area,Ready To Move,DR SHIVARAMA KARANTHA NAGAR,3 BHK,2,1,139.35,700.5600903
Super built-up  Area,18-Apr,BANK OF BARODA COLONY,2 BHK,2,2,100.332,420.3360542
Super built-up  Area,21-Jun,akareb,3 BHK,3,1,179.5757,1390.342333
Built-up  Area,Ready To Move,ghbeli nord,5 Bedroom,5,2,325.15,1616.677131
Built-up  Area,Ready To Move,KULLAPPA COLONY,2 BHK,2,2,98.474,646.6708526
Super built-up  Area,18-Aug,rades,1 BHK,1,1,59.9205,177.2955921
Plot  Area,Ready To Move,MUKKUTAM NAGAR,8 Bedroom,8,2,241.54,1940.012558
Super built-up  Area,18-Sep,rades,1 BHK,1,1,59.9205,177.2955921
Super built-up  Area,Ready To Move,ASHWATH NAGAR,3 BHK,3,3,152.7276,905.3391936
Super built-up  Area,Ready To Move,NCPR INDUSTRIAL LAYOUT,2 BHK,2,3,119.3765,781.3939469
Plot  Area,Ready To Move,l mida,3 Bedroom,3,1,111.48,970.0062789
Super built-up  Area,Ready To Move,l mida,2 BHK,2,1,84.539,431.1139017
Super built-up  Area,Ready To Move,kerouon sud,3 BHK,3,1,146.5033,754.449328
Plot  Area,17-May,MEENAKUNTE,3 Bedroom,3,2,376.245,3017.797312
Super built-up  Area,Ready To Move,hichrya,3 BHK,3,2,224.818,1993.901795
Super built-up  Area,Ready To Move,rades,2 BHK,1,1,74.32,215.5569509
Built-up  Area,Ready To Move,ANAND NAGAR,2 BHK,2,2,98.474,592.7816149
Super built-up  Area,Ready To Move,wardya,2 BHK,2,2,117.983,1002.339821
Super built-up  Area,18-Jun,SHREE ANANTH NAGAR LAYOUT,2 BHK,2,2,83.61,242.5015697
Built-up  Area,Ready To Move,KUNDALAHALLI COLONY,2 Bedroom,2,1,118.912,743.6714805
Plot  Area,Ready To Move,manzel jamil,4 Bedroom,2,0,111.48,1023.895517
Built-up  Area,Ready To Move,tela,2 BHK,2,2,95.2225,388.0025115
Super built-up  Area,17-Jun,l mida,2 BHK,2,1,102.9332,679.0043952
Plot  Area,Ready To Move,MCECHS  LAYOUT,5 Bedroom,5,,111.48,1832.234082
Super built-up  Area,Ready To Move,COFFEE BOARD LAYOUT,3 BHK,3,2,282.8805,1832.234082
Plot  Area,Ready To Move,sijoumi,4 Bedroom,3,2,269.41,3233.354263
Super built-up  Area,Ready To Move,akareb,3 BHK,3,2,139.35,813.7274895
Super built-up  Area,Ready To Move,manzel hbib,2 BHK,2,2,120.3055,473.1475071
Super built-up  Area,Ready To Move,ariana soghra,2 BHK,2,1,107.9498,645.5930678
Super built-up  Area,Ready To Move,tela,2 BHK,2,2,96.1515,530.2700991
Built-up  Area,Ready To Move,beb jdid,4 Bedroom,4,0,148.64,569.0703503
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,3,2,136.0056,495.780987
Super built-up  Area,18-Oct,mater,3 BHK,2,2,173.3514,663.6998517
Super built-up  Area,Ready To Move,GELEYARA BALAGA LAYOUT,2 BHK,1,1,65.03,280.2240361
Super built-up  Area,Ready To Move,zaghwen,3 BHK,3,2,167.5916,1293.341705
Super built-up  Area,Ready To Move,fariena,2 BHK,2,1,84.8177,344.8911214
Super built-up  Area,21-Dec,mednin nord,3 BHK,3,2,173.5372,1411.898028
Built-up  Area,Ready To Move,bouselem,2 BHK,2,1,82.0307,485.0031394
Plot  Area,Ready To Move,SUNDARA NAGAR,2 Bedroom,2,1,83.61,1185.56323
Super built-up  Area,Ready To Move,farnena,3 BHK,2,3,154.5856,797.0218258
Super built-up  Area,Ready To Move,ghazela,3 BHK,3,2,188.2154,1422.675876
Super built-up  Area,Ready To Move,bouficha,2 BHK,2,1,112.409,871.9278662
Plot  Area,Ready To Move,MEENAKUNTE,4 Bedroom,4,2,381.9119,2694.461886
Super built-up  Area,Ready To Move,zriba,3 BHK,3,3,163.6898,985.6341578
Super built-up  Area,Ready To Move,bou arada,3 BHK,3,3,116.3108,592.7816149
Built-up  Area,Ready To Move,moknin,2 BHK,2,1,79.9869,371.8357402
Built-up  Area,Ready To Move,wardya,3 BHK,2,1,131.918,1077.784754
Plot  Area,Ready To Move,SRIRAMPURA,6 Bedroom,6,0,134.705,2694.461886
Built-up  Area,Ready To Move,dar chaaben fehri,3 BHK,3,1,138.421,849.2943864
Super built-up  Area,Ready To Move,hay tadhamen,3 BHK,2,1,99.8675,495.780987
Super built-up  Area,18-Aug,sabela,3 BHK,2,2,132.3825,1013.117669
Built-up  Area,Ready To Move,zaghwen,2 BHK,2,1,111.48,431.1139017
Super built-up  Area,Ready To Move,fahs,3 BHK,2,2,118.912,603.5594624
Super built-up  Area,Ready To Move,SILVER SPRINGS LAYOUT,2 BHK,2,2,100.7036,538.8923772
Super built-up  Area,18-Jul,rades,2 BHK,2,2,94.2935,278.9306944
Super built-up  Area,21-May,aamdoun,2 BHK,2,1,94.4793,552.3646866
Super built-up  Area,Ready To Move,benzert nord,2 BHK,2,2,95.4083,474.2252919
Super built-up  Area,Ready To Move,hammamet,2 BHK,2,2,99.3101,485.0031394
Super built-up  Area,Ready To Move,jarzouna,2 BHK,2,1,125.3221,1058.384629
Super built-up  Area,Ready To Move,kram,2 BHK,2,1,93.3645,538.8923772
Super built-up  Area,Ready To Move,aarousa,2 BHK,2,3,131.6393,808.3385657
Plot  Area,18-Jan,mednin sud,3 Bedroom,3,1,137.0275,1056.229059
Carpet  Area,Ready To Move,MARUTHI SEVANAGAR,2 BHK,2,2,88.255,506.5588345
Super built-up  Area,Ready To Move,RMV 2ND STAGE,4 BHK,4,0,185.8,1293.341705
Plot  Area,Ready To Move,nabeul,3 Bedroom,3,1,81.752,1508.898656
Super built-up  Area,Ready To Move,tela,4 BHK,3,2,173.0727,1120.896144
Super built-up  Area,Ready To Move,rdif,2 BHK,2,1,93.829,317.9465025
Super built-up  Area,Ready To Move,zaghwen,3 BHK,2,1,132.3825,754.449328
Super built-up  Area,Ready To Move,akareb,3 BHK,3,0,134.705,1077.784754
Super built-up  Area,Ready To Move,kerouon sud,3 BHK,3,2,171.5863,1131.673992
Super built-up  Area,Ready To Move,kabarya,2 BHK,2,3,102.19,485.0031394
Super built-up  Area,20-Dec,aamdoun,1 BHK,1,1,48.7725,280.2240361
Super built-up  Area,Ready To Move,sakeyet sidi yousef,3 BHK,3,2,154.6785,1023.895517
Super built-up  Area,Ready To Move,sfax sud,4 BHK,4,3,154.5856,700.5600903
Super built-up  Area,Ready To Move,seliena nord,3 BHK,3,3,171.865,1616.677131
Super built-up  Area,Ready To Move,kabes ouest,2 BHK,2,3,133.5902,1077.784754
Super built-up  Area,Ready To Move,SUNDER RAM SHETTY NAGAR,3 BHK,3,3,144.924,1239.452467
Super built-up  Area,18-Apr,fousena,2 BHK,2,1,125.415,598.709431
Super built-up  Area,Ready To Move,aamdoun,3 BHK,3,3,143.995,722.1157854
Super built-up  Area,18-Apr,sers,2 BHK,2,2,105.906,501.1699107
Plot  Area,Ready To Move,SRIRAMPURA,5 Bedroom,5,2,111.48,1940.012558
Super built-up  Area,18-Dec,KODATHI,2 BHK,2,2,78.965,291.0018837
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,2,118.912,808.3385657
Built-up  Area,Ready To Move,dhahbya,2 BHK,2,2,108.693,560.4480722
Super built-up  Area,Ready To Move,MOTAPPA LAYOUT,2 BHK,2,1,103.3977,549.6702247
Super built-up  Area,Ready To Move,mater,2 BHK,2,1,128.6665,895.5313523
